# reference: https://statisticstimes.com/geography/countries-by-continents.php
# countries or areas
# no,country or area,iso-alpha3 code,m49 code,region 1,region 2,continent
188,saint kitts and nevis,kna,659,caribbean,latin america and the caribbean,north america
189,saint lucia,lca,662,caribbean,latin america and the caribbean,north america
190,saint martin french,maf,663,caribbean,latin america and the caribbean,north america
191,saint pierre and miquelon,spm,666,northern america,,north america
192,saint vincent and the grenadines,vct,670,caribbean,latin america and the caribbean,north america
193,samoa,wsm,882,polynesia,,oceania
194,san marino,smr,674,southern europe,,europe
195,sao tome and principe,stp,678,middle africa,sub-saharan africa,africa
196,sark,,680,northern europe,channel islands,europe
197,saudi arabia,sau,682,western asia,,asia
198,senegal,sen,686,western africa,sub-saharan africa,africa
199,serbia,srb,688,southern europe,,europe
200,seychelles,syc,690,eastern africa,sub-saharan africa,africa
201,sierra leone,sle,694,western africa,sub-saharan africa,africa
202,singapore,sgp,702,south-eastern asia,,asia
203,saint martin dutch,sxm,534,caribbean,latin america and the caribbean,north america
204,slovakia,svk,703,eastern europe,,europe
205,slovenia,svn,705,southern europe,,europe
206,solomon islands,slb,090,melanesia,,oceania
207,somalia,som,706,eastern africa,sub-saharan africa,africa
208,south africa,zaf,710,southern africa,sub-saharan africa,africa
209,south georgia and the south sandwich islands,sgs,239,south america,latin america and the caribbean,south america
210,south sudan,ssd,728,eastern africa,sub-saharan africa,africa
211,spain,esp,724,southern europe,,europe
212,sri lanka,lka,144,southern asia,,asia
213,palestine,pse,275,western asia,,asia
214,sudan,sdn,729,northern africa,,africa
215,suriname,sur,740,south america,latin america and the caribbean,south america
216,svalbard and jan mayen islands,sjm,744,northern europe,,europe
217,sweden,swe,752,northern europe,,europe
218,switzerland,che,756,western europe,,europe
219,syria,syr,760,western asia,,asia
220,tajikistan,tjk,762,central asia,,asia
221,thailand,tha,764,south-eastern asia,,asia
222,timor-leste,tls,626,south-eastern asia,,asia
223,togo,tgo,768,western africa,sub-saharan africa,africa
224,tokelau,tkl,772,polynesia,,oceania
225,tonga,ton,776,polynesia,,oceania
226,trinidad and tobago,tto,780,caribbean,latin america and the caribbean,north america
227,tunisia,tun,788,northern africa,,africa
228,turkey,tur,792,western asia,,asia
229,turkmenistan,tkm,795,central asia,,asia
230,turks and caicos islands,tca,796,caribbean,latin america and the caribbean,north america
231,tuvalu,tuv,798,polynesia,,oceania
232,uganda,uga,800,eastern africa,sub-saharan africa,africa
233,ukraine,ukr,804,eastern europe,,europe
234,united arab emirates,are,784,western asia,,asia
235,united kingdom,gbr,826,northern europe,,europe
236,tanzania,tza,834,eastern africa,sub-saharan africa,africa
237,us minor outlying islands,umi,581,micronesia,,oceania
238,united states,usa,840,northern america,,north america
239,us virgin islands,vir,850,caribbean,latin america and the caribbean,north america
240,uruguay,ury,858,south america,latin america and the caribbean,south america
241,uzbekistan,uzb,860,central asia,,asia
242,vanuatu,vut,548,melanesia,,oceania
243,venezuela,ven,862,south america,latin america and the caribbean,south america
244,vietnam,vnm,704,south-eastern asia,,asia
245,wallis and futuna,wlf,876,polynesia,,oceania
246,western sahara,esh,732,northern africa,,africa
247,yemen,yem,887,western asia,,asia
248,zambia,zmb,894,eastern africa,sub-saharan africa,africa
249,zimbabwe,zwe,716,eastern africa,sub-saharan africa,africa
